"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-18,"GA 648","CGK3-?
(Domestic)","83 ",8,91
2017-04-18,"GA 646","CGK3-AMQ
(Domestic)","62 ",4,66
2017-04-18,"GA 534","CGK3-BDJ
(Domestic)","115 ",11,126
2017-04-18,"GA 528","CGK3-BDJ
(Domestic)","69 ",22,91
2017-04-18,"GA 538","CGK3-BDJ
(Domestic)","83 ",6,89
2017-04-18,"GA 530","CGK3-BDJ
(Domestic)","105 ",1,106
2017-04-18,"GA 536","CGK3-BDJ
(Domestic)","68 ",6,74
2017-04-18,"GA 532","CGK3-BDJ
(Domestic)","64 ",11,75
2017-04-18,"GA 296","CGK3-BKS
(Domestic)","61 ",0,61
2017-04-18,"GA 298","CGK3-BKS
(Domestic)","45 ",10,55
2017-04-18,"GA 560","CGK3-BPN
(Domestic)","94 ",1,95
2017-04-18,"GA 564","CGK3-BPN
(Domestic)","105 ",13,118
2017-04-18,"GA 568","CGK3-BPN
(Domestic)","76 ",24,100
2017-04-18,"GA 566","CGK3-BPN
(Domestic)","68 ",14,82
2017-04-18,"GA 570","CGK3-BPN
(Domestic)","79 ",12,91
2017-04-18,"GA 576","CGK3-BPN
(Domestic)","74 ",10,84
2017-04-18,"GA 572","CGK3-BPN
(Domestic)","79 ",23,102
2017-04-18,"GA 156","CGK3-BTH
(Domestic)","79 ",53,132
2017-04-18,"GA 150","CGK3-BTH
(Domestic)","133 ",0,133
2017-04-18,"GA 152","CGK3-BTH
(Domestic)","93 ",58,151
2017-04-18,"GA 154","CGK3-BTH
(Domestic)","65 ",77,142
2017-04-18,"GA 158","CGK3-BTH
(Domestic)","94 ",27,121
2017-04-18,"GA 146","CGK3-BTJ
(Domestic)","84 ",11,95
2017-04-18,"GA 140","CGK3-BTJ
(Domestic)","99 ",2,101
2017-04-18,"GA 142","CGK3-BTJ
(Domestic)","79 ",7,86
2017-04-18,"GA 132","CGK3-DJB
(Domestic)","60 ",13,73
2017-04-18,"GA 130","CGK3-DJB
(Domestic)","64 ",0,64
2017-04-18,"GA 134","CGK3-DJB
(Domestic)","89 ",14,103
2017-04-18,"GA 128","CGK3-DJB
(Domestic)","75 ",12,87
2017-04-18,"GA 126","CGK3-DJB
(Domestic)","45 ",8,53
2017-04-18,"GA 656","CGK3-DJJ
(Domestic)","122 ",36,158
2017-04-18,"GA 438","CGK3-DPS
(Domestic)","80 ",2,82
2017-04-18,"GA 652","CGK3-DPS
(Domestic)","99 ",10,109
2017-04-18,"GA 426","CGK3-DPS
(Domestic)","104 ",13,117
2017-04-18,"GA 418","CGK3-DPS
(Domestic)","181 ",6,187
2017-04-18,"GA 420","CGK3-DPS
(Domestic)","71 ",6,77
2017-04-18,"GA 424","CGK3-DPS
(Domestic)","57 ",7,64
2017-04-18,"GA 422","CGK3-DPS
(Domestic)","104 ",38,142
2017-04-18,"GA 414","CGK3-DPS
(Domestic)","58 ",24,82
2017-04-18,"GA 412","CGK3-DPS
(Domestic)","153 ",19,172
2017-04-18,"GA 408","CGK3-DPS
(Domestic)","97 ",7,104
2017-04-18,"GA 404","CGK3-DPS
(Domestic)","69 ",17,86
2017-04-18,"GA 402","CGK3-DPS
(Domestic)","102 ",6,108
2017-04-18,"GA 400","CGK3-DPS
(Domestic)","99 ",2,101
2017-04-18,"GA 410","CGK3-DPS
(Domestic)","94 ",21,115
2017-04-18,"GA 268","CGK3-DTB
(Domestic)","64 ",6,70
2017-04-18,"GA 212","CGK3-JOG
(Domestic)","79 ",47,126
2017-04-18,"GA 216","CGK3-JOG
(Domestic)","122 ",20,142
2017-04-18,"GA 214","CGK3-JOG
(Domestic)","126 ",15,141
2017-04-18,"GA 210","CGK3-JOG
(Domestic)","53 ",43,96
2017-04-18,"GA 208","CGK3-JOG
(Domestic)","91 ",32,123
2017-04-18,"GA 206","CGK3-JOG
(Domestic)","97 ",28,125
2017-04-18,"GA 204","CGK3-JOG
(Domestic)","138 ",3,141
2017-04-18,"GA 202","CGK3-JOG
(Domestic)","146 ",3,149
2017-04-18,"GA 218","CGK3-JOG
(Domestic)","115 ",24,139
2017-04-18,"GA 122","CGK3-KNO
(Domestic)","92 ",14,106
2017-04-18,"GA 184","CGK3-KNO
(Domestic)","68 ",19,87
2017-04-18,"GA 118","CGK3-KNO
(Domestic)","93 ",19,112
2017-04-18,"GA 182","CGK3-KNO
(Domestic)","69 ",10,79
2017-04-18,"GA 186","CGK3-KNO
(Domestic)","103 ",17,120
2017-04-18,"GA 190","CGK3-KNO
(Domestic)","93 ",11,104
2017-04-18,"GA 192","CGK3-KNO
(Domestic)","92 ",23,115
2017-04-18,"GA 194","CGK3-KNO
(Domestic)","121 ",0,121
2017-04-18,"GA 196","CGK3-KNO
(Domestic)","94 ",10,104
2017-04-18,"GA 188","CGK3-KNO
(Domestic)","75 ",13,88
2017-04-18,"GA 456","CGK3-KOE
(Domestic)","43 ",0,43
2017-04-18,"GA 452","CGK3-LBJ
(Domestic)","42 ",6,48
2017-04-18,"GA 434","CGK3-LOP
(Domestic)","66 ",0,66
2017-04-18,"GA 432","CGK3-LOP
(Domestic)","63 ",3,66
2017-04-18,"GA 440","CGK3-LOP
(Domestic)","40 ",43,83
2017-04-18,"GA 430","CGK3-LOP
(Domestic)","76 ",8,84
2017-04-18,"GA 600","CGK3-MDC
(Domestic)","68 ",15,83
2017-04-18,"GA 626","CGK3-MDC
(Domestic)","56 ",15,71
2017-04-18,"GA 606","CGK3-MDC
(Domestic)","86 ",9,95
2017-04-18,"GA 602","CGK3-MDC
(Domestic)","84 ",1,85
2017-04-18,"GA 290","CGK3-MLG
(Domestic)","82 ",4,86
2017-04-18,"GA 292","CGK3-MLG
(Domestic)","78 ",31,109
2017-04-18,"GA 124","CGK3-PDG
(Domestic)","42 ",2,44
2017-04-18,"GA 164","CGK3-PDG
(Domestic)","99 ",11,110
2017-04-18,"GA 148","CGK3-PDG
(Domestic)","78 ",39,117
2017-04-18,"GA 160","CGK3-PDG
(Domestic)","73 ",1,74
2017-04-18,"GA 166","CGK3-PDG
(Domestic)","83 ",16,99
2017-04-18,"GA 162","CGK3-PDG
(Domestic)","78 ",21,99
2017-04-18,"GA 168","CGK3-PDG
(Domestic)","102 ",11,113
2017-04-18,"GA 136","CGK3-PGK
(Domestic)","65 ",6,71
2017-04-18,"GA 174","CGK3-PKU
(Domestic)","77 ",9,86
2017-04-18,"GA 178","CGK3-PKU
(Domestic)","60 ",22,82
2017-04-18,"GA 170","CGK3-PKU
(Domestic)","101 ",0,101
2017-04-18,"GA 176","CGK3-PKU
(Domestic)","55 ",24,79
2017-04-18,"GA 172","CGK3-PKU
(Domestic)","87 ",11,98
2017-04-18,"GA 198","CGK3-PKU
(Domestic)","112 ",29,141
2017-04-18,"GA 144","CGK3-PKU
(Domestic)","46 ",10,56
2017-04-18,"GA 552","CGK3-PKY
(Domestic)","95 ",11,106
2017-04-18,"GA 550","CGK3-PKY
(Domestic)","130 ",2,132
2017-04-18,"GA 108","CGK3-PLM
(Domestic)","100 ",16,116
2017-04-18,"GA 104","CGK3-PLM
(Domestic)","90 ",23,113
2017-04-18,"GA 106","CGK3-PLM
(Domestic)","69 ",16,85
2017-04-18,"GA 102","CGK3-PLM
(Domestic)","111 ",0,111
2017-04-18,"GA 110","CGK3-PLM
(Domestic)","88 ",11,99
2017-04-18,"GA 112","CGK3-PLM
(Domestic)","64 ",7,71
2017-04-18,"GA 114","CGK3-PLM
(Domestic)","55 ",23,78
2017-04-18,"GA 100","CGK3-PLM
(Domestic)","86 ",0,86
2017-04-18,"GA 116","CGK3-PLM
(Domestic)","63 ",12,75
2017-04-18,"GA 120","CGK3-PLM
(Domestic)","89 ",11,100
2017-04-18,"GA 622","CGK3-PLW
(Domestic)","62 ",7,69
2017-04-18,"GA 514","CGK3-PNK
(Domestic)","56 ",10,66
2017-04-18,"GA 508","CGK3-PNK
(Domestic)","46 ",12,58
2017-04-18,"GA 504","CGK3-PNK
(Domestic)","78 ",17,95
2017-04-18,"GA 502","CGK3-PNK
(Domestic)","127 ",10,137
2017-04-18,"GA 510","CGK3-PNK
(Domestic)","63 ",10,73
2017-04-18,"GA 500","CGK3-PNK
(Domestic)","97 ",0,97
2017-04-18,"GA 8042","CGK3-SOC
(Domestic)","65 ",1,66
2017-04-18,"GA 220","CGK3-SOC
(Domestic)","36 ",1,37
2017-04-18,"GA 222","CGK3-SOC
(Domestic)","74 ",7,81
2017-04-18,"GA 224","CGK3-SOC
(Domestic)","34 ",4,38
2017-04-18,"GA 226","CGK3-SOC
(Domestic)","76 ",9,85
2017-04-18,"GA 228","CGK3-SOC
(Domestic)","36 ",9,45
2017-04-18,"GA 244","CGK3-SRG
(Domestic)","111 ",19,130
2017-04-18,"GA 242","CGK3-SRG
(Domestic)","93 ",20,113
2017-04-18,"GA 240","CGK3-SRG
(Domestic)","126 ",10,136
2017-04-18,"GA 238","CGK3-SRG
(Domestic)","155 ",1,156
2017-04-18,"GA 234","CGK3-SRG
(Domestic)","99 ",10,109
2017-04-18,"GA 236","CGK3-SRG
(Domestic)","126 ",12,138
2017-04-18,"GA 232","CGK3-SRG
(Domestic)","127 ",5,132
2017-04-18,"GA 230","CGK3-SRG
(Domestic)","115 ",0,115
2017-04-18,"GA 246","CGK3-SRG
(Domestic)","124 ",24,148
2017-04-18,"GA 320","CGK3-SUB
(Domestic)","95 ",1,96
2017-04-18,"GA 302","CGK3-SUB
(Domestic)","120 ",0,120
2017-04-18,"GA 324","CGK3-SUB
(Domestic)","126 ",6,132
2017-04-18,"GA 326","CGK3-SUB
(Domestic)","150 ",7,157
2017-04-18,"GA 306","CGK3-SUB
(Domestic)","131 ",1,132
2017-04-18,"GA 448","CGK3-SUB
(Domestic)","85 ",11,96
2017-04-18,"GA 322","CGK3-SUB
(Domestic)","95 ",3,98
2017-04-18,"GA 318","CGK3-SUB
(Domestic)","112 ",4,116
2017-04-18,"GA 328","CGK3-SUB
(Domestic)","118 ",17,135
2017-04-18,"GA 316","CGK3-SUB
(Domestic)","77 ",5,82
2017-04-18,"GA 314","CGK3-SUB
(Domestic)","89 ",2,91
2017-04-18,"GA 312","CGK3-SUB
(Domestic)","69 ",13,82
2017-04-18,"GA 310","CGK3-SUB
(Domestic)","85 ",10,95
2017-04-18,"GA 304","CGK3-SUB
(Domestic)","142 ",0,142
2017-04-18,"GA 308","CGK3-SUB
(Domestic)","122 ",5,127
2017-04-18,"GA 284","CGK3-TJQ
(Domestic)","18 ",9,27
2017-04-18,"GA 282","CGK3-TJQ
(Domestic)","24 ",2,26
2017-04-18,"GA 80","CGK3-TKG
(Domestic)","94 ",0,94
2017-04-18,"GA 70","CGK3-TKG
(Domestic)","46 ",4,50
2017-04-18,"GA 68","CGK3-TKG
(Domestic)","75 ",18,93
2017-04-18,"GA 72","CGK3-TKG
(Domestic)","78 ",16,94
2017-04-18,"GA 74","CGK3-TKG
(Domestic)","53 ",6,59
2017-04-18,"GA 78","CGK3-TKG
(Domestic)","71 ",29,100
2017-04-18,"GA 76","CGK3-TKG
(Domestic)","64 ",22,86
2017-04-18,"GA 286","CGK3-TNJ
(Domestic)","72 ",5,77
2017-04-18,"GA 668","CGK3-TRK
(Domestic)","74 ",2,76
2017-04-18,"GA 642","CGK3-UPG
(Domestic)","128 ",0,128
2017-04-18,"GA 604","CGK3-UPG
(Domestic)","92 ",2,94
2017-04-18,"GA 608","CGK3-UPG
(Domestic)","98 ",5,103
2017-04-18,"GA 610","CGK3-UPG
(Domestic)","91 ",5,96
2017-04-18,"GA 612","CGK3-UPG
(Domestic)","140 ",2,142
2017-04-18,"GA 614","CGK3-UPG
(Domestic)","96 ",0,96
2017-04-18,"GA 650","CGK3-UPG
(Domestic)","116 ",10,126
2017-04-18,"GA 618","CGK3-UPG
(Domestic)","73 ",5,78
2017-04-18,"GA 654","CGK3-UPG
(Domestic)","121 ",4,125
2017-04-18,"GA 640","CGK3-UPG
(Domestic)","107 ",8,115
2017-04-18,"GA 616","CGK3-UPG
(Domestic)","106 ",2,108
